Text	Time	App Name	App Version	Appeventtype	Review Rating	Store Name
Sometimes my chats won't open when I click on them. Also the little chat bubbles won't appear anymore, when I have the chat open. Please sort.	1372143600	Facebook	6.2	review	1	UK
This is the worst app ever. Unusable. Crashes constantly. Doesn't load most recent news feed. It takes several minutes to open a picture. My phone is so fast on everything else. Facebook: stop adding features and fix what you've already got!!!	1372143600	Facebook	6.2	review	1	USA
Facebook it's to slow . I can even check , my messages cuz it freezes every time , come on do something :/	1372143600	Facebook	6.2	review	1	USA
Haven't had any problems with crashing .  Would like if app was more in sync with the pages on the computer.  Would also like to have all the games available.	1372143600	Facebook	6.2	review	4	USA
When I get a message I can't reply to it I only can read the message	1372143600	Facebook	6.2	review	1	USA
Yeah it's great!!! It's better now I love it !!!	1372143600	Facebook	6.2	review	5	USA
For some reason, the app constantly has a badge saying that I have 2 new notifications even though I have none. It won't go away even after restarting my device.	1372143600	Facebook	6.2	review	1	USA
This app is horrible, the developers of this app have just let it go down hill. Facebook in general has gone down hill. It crashes way to much, I have to re open it over and over and by the time it finally lets me use it, I don't even want to use it anymore. It's not my phone. It's this horrible app. I used to love the old Facebook app, smooth and simple, now there's way too much. What makes me mad is when Facebook alerts me when people update their status, post pictures, or when it's someone's birthday. I DON'T CARE!! I can see they posted a status when I'm on my news feed! I don't need annoying notifications. That's pretty sad that this app has to send notifications just so people have a reason to click on it and use it. Because if it didn't, I wouldn't touch this app ever again. Simply horrible.Would have rated it lower but the lowest you can put is one star.	1372143600	Facebook	6.2	review	1	USA
I love FB, when u need to let out some thing FB is what u need....!	1372143600	Facebook	6.2	review	5	USA
This app is great I can now keep in contact with my friends I give it 5 stars !	1372143600	Facebook	6.2	review	5	USA
I read a few reviews and guess I don't have the same issues as often. The amount of data that is crossing the line is the issue. There's a lot of data so just remember to shut down your device once a week. Same with any computer! I love Facebook, even with the changes. I just make the time to get used to it.	1372143600	Facebook	6.2	review	4	USA
Can't upload videos over a minute long. Can't change covers on mobile..Garbage app	1372143600	Facebook	6.2	review	1	Canada
Thanks for making it better all the time	1372143600	Facebook	6.2	review	5	USA
Needs improvement .	1372143600	Facebook	6.2	review	2	USA
Bad app for a bad website. I still use it tho cause I'm a tool with no life. Update: I can no longer use this app because any time I open it, there's a connection error. You should be getting paid to download this useless pile of junk, and in addition, iTunes should allow you to rate zero stars, solely for this app. Update: app still doesn't work, I had to use a third party tweak to get it to stay open for more than 10 seconds.	1372143600	Facebook	6.2	review	1	Canada
I have zero problems with this app, and zero problems from update to update. It may crash every once in a while (maybe once a month) but runs smoothly and keep the updates coming!	1372143600	Facebook	6.2	review	5	USA
love it	1372143600	Facebook	6.2	review	5	UK
This app on the iPhone is sucking my will to live.	1372143600	Facebook	6.2	review	1	USA
